DIRECCIONAMIENTO MQTT OBSERVATORIO AURA LSST 2020;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO;TABLERO;VARIABLE INTERNA SISTEMA;TOPIC MQTT;PUBLICACION;SUSCRIPCION;SIGNAL;READ / WRITE;SIGNAL RANGE ;LIMITES;UNIT;ESTADO ACTUAL;OBSERVACIONES (0) CORRECIONES;;
PISO 1;CHILLER N°1;Current_Temp_Set;LSST/PISO01/CHILLER_01/SETPOINT_ACTIVO;.;;ANALOG VALUE;READ ;22;-10/10;°C;OK;;;
;;Ain_Out_Temp_Cond;LSST/PISO01/CHILLER_01/TEMPERATURA_AGUA_RETORNO_EVAPORADOR;.;;ANALOG INPUT;READ ;22;-10/10;°C;OK;;;
;;Ain_In_Temp_Rec;LSST/PISO01/CHILLER_01/TEMPERATURA_AGUA_IMPULSION_EVAPORADOR;.;;ANALOG INPUT;READ ;22;-10/10;°C;OK;;;
;;Ain_Low_Press_Circ1;LSST/PISO01/CHILLER_01/PRESION_BAJA_CTO1;.;;ANALOG INPUT;READ ;22;0/5;bar;OK;;;
;;Ain_Low_Press_Circ2;LSST/PISO01/CHILLER_01/PRESION_BAJA_CTO2;.;;ANALOG INPUT;READ ;22;0/5;bar;OK;;;
;;I036 (POTENCIA DISPONIBLE CHILLER);LSST/PISO01/CHILLER_01/POTENCIA_DISPONIBLE_CHILLER;.;;ANALOG VALUE;READ ;22;0% a 100%;%;OK;;;
;;I035 (% POTENCIA DE TRABAJO);LSST/PISO01/CHILLER_01/%_POTENCIA_TRABAJO;.;;ANALOG VALUE;READ ;22;0% a 100%;%;OK;;;
;;MODO_OPERACION;LSST/PISO01/CHILLER_01/MODO_OPERACION;.;;ANALOG VALUE;READ ;22;0 a 16;-;OK;;;
;;ESTADO_UNIDAD;LSST/PISO01/CHILLER_01/ESTADO_UNIDAD;.;;ANALOG VALUE;READ ;22;0 a 10;-;OK;;;
;;HORAS_COMP_PROMEDIO;LSST/PISO01/CHILLER_01/HORAS_COMPRESOR_PROMEDIO;.;;ANALOG VALUE;READ ;22;0 a 100000;°C;OK;;;
;;HORAS_COMP_01;LSST/PISO01/CHILLER_01/HORAS_COMPRESOR_01;.;;ANALOG VALUE;READ ;22;0 a 100000;°C;OK;;;
;;HORAS_COMP_02;LSST/PISO01/CHILLER_01/HORAS_COMPRESOR_02;.;;ANALOG VALUE;READ ;22;0 a 100000;°C;OK;;;
;;HORAS_COMP_03;LSST/PISO01/CHILLER_01/HORAS_COMPRESOR_03;.;;ANALOG VALUE;READ ;22;0 a 100000;°C;OK;;;
;;HORAS_COMP_04;LSST/PISO01/CHILLER_01/HORAS_COMPRESOR_04;.;;ANALOG VALUE;READ ;22;0 a 100000;°C;OK;;;
;;STATUS_COMP_01;LSST/PISO01/CHILLER_01/COMPRESOR_01_FUNCIONANDO;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;STATUS_COMP_02;LSST/PISO01/CHILLER_01/COMPRESOR_02_FUNCIONANDO;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;STATUS_COMP_03;LSST/PISO01/CHILLER_01/COMPRESOR_03_FUNCIONANDO;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;STATUS_COMP_04;LSST/PISO01/CHILLER_01/COMPRESOR_04_FUNCIONANDO;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;ALARMA_COMPRESOR_01;LSST/PISO01/CHILLER_01/COMPRESOR_01_ALARMADO;.;;PRESENT VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;ALARMA_COMPRESOR_02;LSST/PISO01/CHILLER_01/COMPRESOR_02_ALARMADO;.;;PRESENT VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;ALARMA_COMPRESOR_03;LSST/PISO01/CHILLER_01/COMPRESOR_03_ALARMADO;.;;PRESENT VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;ALARMA_COMPRESOR_04;LSST/PISO01/CHILLER_01/COMPRESOR_04_ALARMADO;.;;PRESENT VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;ALARMA_GENERAL;LSST/PISO01/CHILLER_01/ALARMA_GENERAL;.;;PRESENT VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_Selector;LSST/PISO01/CHILLER_01/COMANDO_ENCENDIDO;.;;PRESENT VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;Current_Temp_Set_LSST;LSST/PISO01/CHILLER_01/SETPOINT_ACTIVO_LSST;;.;ANALOG OUTPUT;WRITE;22;-10/10;°C;EN PROCESO 2 ETAPA;;;
;;PP_CHILLER_01_LSST;LSST/PISO01/CHILLER_01/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 1;CHILLER N°2;Current_Temp_Set;LSST/PISO01/CHILLER_02/SETPOINT_ACTIVO;.;;ANALOG VALUE;READ ;22;-10/10;°C;OK;;;
;;Ain_Out_Temp_Cond;LSST/PISO01/CHILLER_02/TEMPERATURA_AGUA_RETORNO_EVAPORADOR;.;;ANALOG INPUT;READ ;22;-10/10;°C;OK;;;
;;Ain_In_Temp_Rec;LSST/PISO01/CHILLER_02/TEMPERATURA_AGUA_IMPULSION_EVAPORADOR;.;;ANALOG INPUT;READ ;22;-10/10;°C;OK;;;
;;Ain_Low_Press_Circ1;LSST/PISO01/CHILLER_02/PRESION_BAJA_CTO1;.;;ANALOG INPUT;READ ;22;0/5;bar;OK;;;
;;Ain_Low_Press_Circ2;LSST/PISO01/CHILLER_02/PRESION_BAJA_CTO2;.;;ANALOG INPUT;READ ;22;0/5;bar;OK;;;
;;I036 (POTENCIA DISPONIBLE CHILLER);LSST/PISO01/CHILLER_02/POTENCIA_DISPONIBLE_CHILLER;.;;ANALOG VALUE;READ ;22;0% a 100%;%;OK;;;
;;I035 (% POTENCIA DE TRABAJO);LSST/PISO01/CHILLER_02/%_POTENCIA_TRABAJO;.;;ANALOG VALUE;READ ;22;0% a 100%;%;OK;;;
;;MODO_OPERACION;LSST/PISO01/CHILLER_02/MODO_OPERACION;.;;ANALOG VALUE;READ ;22;0 a 16;-;OK;;;
;;ESTADO_UNIDAD;LSST/PISO01/CHILLER_02/ESTADO_UNIDAD;.;;ANALOG VALUE;READ ;22;0 a 10;-;OK;;;
;;HORAS_COMP_PROMEDIO;LSST/PISO01/CHILLER_02/HORAS_COMPRESOR_PROMEDIO;.;;ANALOG VALUE;READ ;22;0 a 100000;°C;OK;;;
;;HORAS_COMP_01;LSST/PISO01/CHILLER_02/HORAS_COMPRESOR_01;.;;ANALOG VALUE;READ ;22;0 a 100000;°C;OK;;;
;;HORAS_COMP_02;LSST/PISO01/CHILLER_02/HORAS_COMPRESOR_02;.;;ANALOG VALUE;READ ;22;0 a 100000;°C;OK;;;
;;HORAS_COMP_03;LSST/PISO01/CHILLER_02/HORAS_COMPRESOR_03;.;;ANALOG VALUE;READ ;22;0 a 100000;°C;OK;;;
;;HORAS_COMP_04;LSST/PISO01/CHILLER_02/HORAS_COMPRESOR_04;.;;ANALOG VALUE;READ ;22;0 a 100000;°C;OK;;;
;;STATUS_COMP_01;LSST/PISO01/CHILLER_02/COMPRESOR_01_FUNCIONANDO;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;STATUS_COMP_02;LSST/PISO01/CHILLER_02/COMPRESOR_02_FUNCIONANDO;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;STATUS_COMP_03;LSST/PISO01/CHILLER_02/COMPRESOR_03_FUNCIONANDO;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;STATUS_COMP_04;LSST/PISO01/CHILLER_02/COMPRESOR_04_FUNCIONANDO;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;ALARMA_COMPRESOR_01;LSST/PISO01/CHILLER_02/COMPRESOR_01_ALARMADO;.;;PRESENT VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;ALARMA_COMPRESOR_02;LSST/PISO01/CHILLER_02/COMPRESOR_02_ALARMADO;.;;PRESENT VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;ALARMA_COMPRESOR_03;LSST/PISO01/CHILLER_02/COMPRESOR_03_ALARMADO;.;;PRESENT VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;ALARMA_COMPRESOR_04;LSST/PISO01/CHILLER_02/COMPRESOR_04_ALARMADO;.;;PRESENT VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;ALARMA_GENERAL;LSST/PISO01/CHILLER_02/ALARMA_GENERAL;.;;PRESENT VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_Selector;LSST/PISO01/CHILLER_02/COMANDO_ENCENDIDO;.;;PRESENT VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;Current_Temp_Set_LSST;LSST/PISO01/CHILLER_02/SETPOINT_ACTIVO_LSST;;.;ANALOG OUTPUT;WRITE;22;-10/10;°C;EN PROCESO 2 ETAPA;;;
;;PP_CHILLER_01_LSST;LSST/PISO01/CHILLER_02/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 1;CHILLER N°3;Current_Temp_Set;LSST/PISO01/CHILLER_03/SETPOINT_ACTIVO;.;;ANALOG VALUE;READ ;22;-10/10;°C;OK;;;
;;Ain_Out_Temp_Cond;LSST/PISO01/CHILLER_03/TEMPERATURA_AGUA_RETORNO_EVAPORADOR;.;;ANALOG INPUT;READ ;22;-10/10;°C;OK;;;
;;Ain_In_Temp_Rec;LSST/PISO01/CHILLER_03/TEMPERATURA_AGUA_IMPULSION_EVAPORADOR;.;;ANALOG INPUT;READ ;22;-10/10;°C;OK;;;
;;Ain_Low_Press_Circ1;LSST/PISO01/CHILLER_03/PRESION_BAJA_CTO1;.;;ANALOG INPUT;READ ;22;0/5;bar;OK;;;
;;Ain_Low_Press_Circ2;LSST/PISO01/CHILLER_03/PRESION_BAJA_CTO2;.;;ANALOG INPUT;READ ;22;0/5;bar;OK;;;
;;I036 (POTENCIA DISPONIBLE CHILLER);LSST/PISO01/CHILLER_03/POTENCIA_DISPONIBLE_CHILLER;.;;ANALOG VALUE;READ ;22;0% a 100%;%;OK;;;
;;I035 (% POTENCIA DE TRABAJO);LSST/PISO01/CHILLER_03/%_POTENCIA_TRABAJO;.;;ANALOG VALUE;READ ;22;0% a 100%;%;OK;;;
;;MODO_OPERACION;LSST/PISO01/CHILLER_03/MODO_OPERACION;.;;ANALOG VALUE;READ ;22;0 a 16;-;OK;;;
;;ESTADO_UNIDAD;LSST/PISO01/CHILLER_03/ESTADO_UNIDAD;.;;ANALOG VALUE;READ ;22;0 a 10;-;OK;;;
;;HORAS_COMP_PROMEDIO;LSST/PISO01/CHILLER_03/HORAS_COMPRESOR_PROMEDIO;.;;ANALOG VALUE;READ ;22;0 a 100000;°C;OK;;;
;;HORAS_COMP_01;LSST/PISO01/CHILLER_03/HORAS_COMPRESOR_01;.;;ANALOG VALUE;READ ;22;0 a 100000;°C;OK;;;
;;HORAS_COMP_02;LSST/PISO01/CHILLER_03/HORAS_COMPRESOR_02;.;;ANALOG VALUE;READ ;22;0 a 100000;°C;OK;;;
;;HORAS_COMP_03;LSST/PISO01/CHILLER_03/HORAS_COMPRESOR_03;.;;ANALOG VALUE;READ ;22;0 a 100000;°C;OK;;;
;;HORAS_COMP_04;LSST/PISO01/CHILLER_03/HORAS_COMPRESOR_04;.;;ANALOG VALUE;READ ;22;0 a 100000;°C;OK;;;
;;STATUS_COMP_01;LSST/PISO01/CHILLER_03/COMPRESOR_01_FUNCIONANDO;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;STATUS_COMP_02;LSST/PISO01/CHILLER_03/COMPRESOR_02_FUNCIONANDO;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;STATUS_COMP_03;LSST/PISO01/CHILLER_03/COMPRESOR_03_FUNCIONANDO;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;STATUS_COMP_04;LSST/PISO01/CHILLER_03/COMPRESOR_04_FUNCIONANDO;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;ALARMA_COMPRESOR_01;LSST/PISO01/CHILLER_03/COMPRESOR_01_ALARMADO;.;;PRESENT VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;ALARMA_COMPRESOR_02;LSST/PISO01/CHILLER_03/COMPRESOR_02_ALARMADO;.;;PRESENT VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;ALARMA_COMPRESOR_03;LSST/PISO01/CHILLER_03/COMPRESOR_03_ALARMADO;.;;PRESENT VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;ALARMA_COMPRESOR_04;LSST/PISO01/CHILLER_03/COMPRESOR_04_ALARMADO;.;;PRESENT VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;ALARMA_GENERAL;LSST/PISO01/CHILLER_03/ALARMA_GENERAL;.;;PRESENT VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_Selector;LSST/PISO01/CHILLER_03/COMANDO_ENCENDIDO;.;;PRESENT VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;Current_Temp_Set_LSST;LSST/PISO01/CHILLER_03/SETPOINT_ACTIVO_LSST;;.;ANALOG OUTPUT;WRITE;22;-10/10;°C;EN PROCESO 2 ETAPA;;;
;;PP_CHILLER_01_LSST;LSST/PISO01/CHILLER_03/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
DIRECCIONAMIENTO MQTT OBSERVATORIO AURA LSST 2020;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO;TABLERO;VARIABLE INTERNA SISTEMA;TOPIC MQTT;PUBLICACION;SUSCRIPCION;SEÑAL;READ / WRITE;SIGNAL RANGE ;LIMITES;UNIT;ESTADO ACTUAL;OBSERVACIONES (0) CORRECIONES;;
PISO 2;FANCOIL N°1;HEAT.COOL;LSST/PISO02/FANCOIL01/ESTADO_OPERACION;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;HTG STG 1;LSST/PISO02/FANCOIL01/ESTADO_CALEFACTOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;FAN;LSST/PISO02/FANCOIL01/ESTADO_VENTILADOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;ROOM TEMP;LSST/PISO02/FANCOIL01/TEMPERATURA_SALA;.;;ANALOG VALUE;READ ;22;20/26;°C;OK;;;
;;VLV POS;LSST/PISO02/FANCOIL01/%_APERTURA_VALVULA_FRIO;.;;ANALOG OUTPUT;READ ;22;0% a 100%;%;OK;;;
;;DAY CLG STPT;LSST/PISO02/FANCOIL01/SETPOINT_COOLING_DAY;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;DAY HTG STPT;LSST/PISO02/FANCOIL01/SETPOINT_HEATING_DAY;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;NGT CLG STPT;LSST/PISO02/FANCOIL01/SETPOINT_COOLING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;NGT HTG STPT;LSST/PISO02/FANCOIL01/SETPOINT_HEATING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;CTL STPT;LSST/PISO02/FANCOIL01/SETPOINT_TRABAJO;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;PP_selector;LSST/PISO02/FANCOIL01/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;VLV POS_LSST;LSST/PISO02/FANCOIL01/%_APERTURA_VALVULA_FRIO_LSST;;.;ANALOG OUTPUT;WRITE;22;0% a 100%;%;EN PROCESO 2 ETAPA;;;
;;DAY CLG STPT_LSST;LSST/PISO02/FANCOIL01/SETPOINT_COOLING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;DAY HTG STPT_LSST;LSST/PISO02/FANCOIL01/SETPOINT_HEATING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;NGT CLG STPT_LSST;LSST/PISO02/FANCOIL01/SETPOINT_COOLING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;NGT HTG STPT_LSST;LSST/PISO02/FANCOIL01/SETPOINT_HEATING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;CTL STPT_LSST;LSST/PISO02/FANCOIL01/SETPOINT_TRABAJO_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;PP_selector_LSST;LSST/PISO02/FANCOIL01/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 2;FANCOIL N°2;HEAT.COOL;LSST/PISO02/FANCOIL02/ESTADO_OPERACION;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;HTG STG 1;LSST/PISO02/FANCOIL02/ESTADO_CALEFACTOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;FAN;LSST/PISO02/FANCOIL02/ESTADO_VENTILADOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;ROOM TEMP;LSST/PISO02/FANCOIL02/TEMPERATURA_SALA;.;;ANALOG VALUE;READ ;22;20/26;°C;OK;;;
;;VLV POS;LSST/PISO02/FANCOIL02/%_APERTURA_VALVULA_FRIO;.;;ANALOG OUTPUT;READ ;22;0% a 100%;%;OK;;;
;;DAY CLG STPT;LSST/PISO02/FANCOIL02/SETPOINT_COOLING_DAY;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;DAY HTG STPT;LSST/PISO02/FANCOIL02/SETPOINT_HEATING_DAY;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;NGT CLG STPT;LSST/PISO02/FANCOIL02/SETPOINT_COOLING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;NGT HTG STPT;LSST/PISO02/FANCOIL02/SETPOINT_HEATING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;CTL STPT;LSST/PISO02/FANCOIL02/SETPOINT_TRABAJO;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;PP_selector;LSST/PISO02/FANCOIL02/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;VLV POS_LSST;LSST/PISO02/FANCOIL02/%_APERTURA_VALVULA_FRIO_LSST;;.;ANALOG OUTPUT;WRITE;22;0% a 100%;%;EN PROCESO 2 ETAPA;;;
;;DAY CLG STPT_LSST;LSST/PISO02/FANCOIL02/SETPOINT_COOLING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;DAY HTG STPT_LSST;LSST/PISO02/FANCOIL02/SETPOINT_HEATING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;NGT CLG STPT_LSST;LSST/PISO02/FANCOIL02/SETPOINT_COOLING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;NGT HTG STPT_LSST;LSST/PISO02/FANCOIL02/SETPOINT_HEATING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;CTL STPT_LSST;LSST/PISO02/FANCOIL02/SETPOINT_TRABAJO_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;PP_selector_LSST;LSST/PISO02/FANCOIL02/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;OK;;;
;;;;;;;;;;;;;;
PISO 2;FANCOIL N°3;HEAT.COOL;LSST/PISO02/FANCOIL03/ESTADO_OPERACION;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;HTG STG 1;LSST/PISO02/FANCOIL03/ESTADO_CALEFACTOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;FAN;LSST/PISO02/FANCOIL03/ESTADO_VENTILADOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;ROOM TEMP;LSST/PISO02/FANCOIL03/TEMPERATURA_SALA;.;;ANALOG VALUE;READ ;22;20/26;°C;OK;;;
;;VLV POS;LSST/PISO02/FANCOIL03/%_APERTURA_VALVULA_FRIO;.;;ANALOG OUTPUT;READ ;22;0% a 100%;%;OK;;;
;;DAY CLG STPT;LSST/PISO02/FANCOIL03/SETPOINT_COOLING_DAY;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;DAY HTG STPT;LSST/PISO02/FANCOIL03/SETPOINT_HEATING_DAY;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;NGT CLG STPT;LSST/PISO02/FANCOIL03/SETPOINT_COOLING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;NGT HTG STPT;LSST/PISO02/FANCOIL03/SETPOINT_HEATING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;CTL STPT;LSST/PISO02/FANCOIL03/SETPOINT_TRABAJO;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;PP_selector;LSST/PISO02/FANCOIL03/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;VLV POS_LSST;LSST/PISO02/FANCOIL03/%_APERTURA_VALVULA_FRIO_LSST;;.;ANALOG OUTPUT;WRITE;22;0% a 100%;%;EN PROCESO 2 ETAPA;;;
;;DAY CLG STPT_LSST;LSST/PISO02/FANCOIL03/SETPOINT_COOLING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;DAY HTG STPT_LSST;LSST/PISO02/FANCOIL03/SETPOINT_HEATING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;NGT CLG STPT_LSST;LSST/PISO02/FANCOIL03/SETPOINT_COOLING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;NGT HTG STPT_LSST;LSST/PISO02/FANCOIL03/SETPOINT_HEATING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;CTL STPT_LSST;LSST/PISO02/FANCOIL03/SETPOINT_TRABAJO_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;PP_selector_LSST;LSST/PISO02/FANCOIL03/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 2;FANCOIL N°4;HEAT.COOL;LSST/PISO02/FANCOIL04/ESTADO_OPERACION;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;HTG STG 1;LSST/PISO02/FANCOIL04/ESTADO_CALEFACTOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
