DIRECCIONAMIENTO MQTT OBSERVATORIO AURA LSST 2020;;;;;;;;;;;;;;
;;FAN;LSST/PISO02/FANCOIL04/ESTADO_VENTILADOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;ROOM TEMP;LSST/PISO02/FANCOIL04/TEMPERATURA_SALA;.;;ANALOG VALUE;READ ;22;20/26;°C;OK;;;
;;VLV POS;LSST/PISO02/FANCOIL04/%_APERTURA_VALVULA_FRIO;.;;ANALOG OUTPUT;READ ;22;0% a 100%;%;OK;;;
;;DAY CLG STPT;LSST/PISO02/FANCOIL04/SETPOINT_COOLING_DAY;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;DAY HTG STPT;LSST/PISO02/FANCOIL04/SETPOINT_HEATING_DAY;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;NGT CLG STPT;LSST/PISO02/FANCOIL04/SETPOINT_COOLING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;NGT HTG STPT;LSST/PISO02/FANCOIL04/SETPOINT_HEATING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;CTL STPT;LSST/PISO02/FANCOIL04/SETPOINT_TRABAJO;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;PP_selector;LSST/PISO02/FANCOIL04/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;VLV POS_LSST;LSST/PISO02/FANCOIL04/%_APERTURA_VALVULA_FRIO_LSST;;.;ANALOG OUTPUT;WRITE;22;0% a 100%;%;EN PROCESO 2 ETAPA;;;
;;DAY CLG STPT_LSST;LSST/PISO02/FANCOIL04/SETPOINT_COOLING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;DAY HTG STPT_LSST;LSST/PISO02/FANCOIL04/SETPOINT_HEATING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;NGT CLG STPT_LSST;LSST/PISO02/FANCOIL04/SETPOINT_COOLING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;NGT HTG STPT_LSST;LSST/PISO02/FANCOIL04/SETPOINT_HEATING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;CTL STPT_LSST;LSST/PISO02/FANCOIL04/SETPOINT_TRABAJO_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;PP_selector_LSST;LSST/PISO02/FANCOIL04/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 2;FANCOIL N°5;HEAT.COOL;LSST/PISO02/FANCOIL05/ESTADO_OPERACION;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;HTG STG 1;LSST/PISO02/FANCOIL05/ESTADO_CALEFACTOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;FAN;LSST/PISO02/FANCOIL05/ESTADO_VENTILADOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;ROOM TEMP;LSST/PISO02/FANCOIL05/TEMPERATURA_SALA;.;;ANALOG VALUE;READ ;22;20/26;°C;OK;;;
;;VLV POS;LSST/PISO02/FANCOIL05/%_APERTURA_VALVULA_FRIO;.;;ANALOG OUTPUT;READ ;22;0% a 100%;%;OK;;;
;;DAY CLG STPT;LSST/PISO02/FANCOIL05/SETPOINT_COOLING_DAY;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;DAY HTG STPT;LSST/PISO02/FANCOIL05/SETPOINT_HEATING_DAY;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;NGT CLG STPT;LSST/PISO02/FANCOIL05/SETPOINT_COOLING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;NGT HTG STPT;LSST/PISO02/FANCOIL05/SETPOINT_HEATING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;CTL STPT;LSST/PISO02/FANCOIL05/SETPOINT_TRABAJO;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;PP_selector;LSST/PISO02/FANCOIL05/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;VLV POS_LSST;LSST/PISO02/FANCOIL05/%_APERTURA_VALVULA_FRIO_LSST;;.;ANALOG OUTPUT;WRITE;22;0% a 100%;%;EN PROCESO 2 ETAPA;;;
;;DAY CLG STPT_LSST;LSST/PISO02/FANCOIL05/SETPOINT_COOLING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;DAY HTG STPT_LSST;LSST/PISO02/FANCOIL05/SETPOINT_HEATING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;NGT CLG STPT_LSST;LSST/PISO02/FANCOIL05/SETPOINT_COOLING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;NGT HTG STPT_LSST;LSST/PISO02/FANCOIL05/SETPOINT_HEATING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;CTL STPT_LSST;LSST/PISO02/FANCOIL05/SETPOINT_TRABAJO_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;PP_selector_LSST;LSST/PISO02/FANCOIL05/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 2;FANCOIL N°6;HEAT.COOL;LSST/PISO02/FANCOIL06/ESTADO_OPERACION;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;HTG STG 1;LSST/PISO02/FANCOIL06/ESTADO_CALEFACTOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;FAN;LSST/PISO02/FANCOIL06/ESTADO_VENTILADOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;ROOM TEMP;LSST/PISO02/FANCOIL06/TEMPERATURA_SALA;.;;ANALOG VALUE;READ ;22;20/26;°C;OK;;;
;;VLV POS;LSST/PISO02/FANCOIL06/%_APERTURA_VALVULA_FRIO;.;;ANALOG OUTPUT;READ ;22;0% a 100%;%;OK;;;
;;DAY CLG STPT;LSST/PISO02/FANCOIL06/SETPOINT_COOLING_DAY;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;DAY HTG STPT;LSST/PISO02/FANCOIL06/SETPOINT_HEATING_DAY;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;NGT CLG STPT;LSST/PISO02/FANCOIL06/SETPOINT_COOLING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;NGT HTG STPT;LSST/PISO02/FANCOIL06/SETPOINT_HEATING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;CTL STPT;LSST/PISO02/FANCOIL06/SETPOINT_TRABAJO;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;PP_selector;LSST/PISO02/FANCOIL06/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;VLV POS_LSST;LSST/PISO02/FANCOIL06/%_APERTURA_VALVULA_FRIO_LSST;;.;ANALOG OUTPUT;WRITE;22;0% a 100%;%;EN PROCESO 2 ETAPA;;;
;;DAY CLG STPT_LSST;LSST/PISO02/FANCOIL06/SETPOINT_COOLING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;DAY HTG STPT_LSST;LSST/PISO02/FANCOIL06/SETPOINT_HEATING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;NGT CLG STPT_LSST;LSST/PISO02/FANCOIL06/SETPOINT_COOLING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;NGT HTG STPT_LSST;LSST/PISO02/FANCOIL06/SETPOINT_HEATING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;CTL STPT_LSST;LSST/PISO02/FANCOIL06/SETPOINT_TRABAJO_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;PP_selector_LSST;LSST/PISO02/FANCOIL06/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 2;FANCOIL N°7;HEAT.COOL;LSST/PISO02/FANCOIL07/ESTADO_OPERACION;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;HTG STG 1;LSST/PISO02/FANCOIL07/ESTADO_CALEFACTOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;FAN;LSST/PISO02/FANCOIL07/ESTADO_VENTILADOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;ROOM TEMP;LSST/PISO02/FANCOIL07/TEMPERATURA_SALA;.;;ANALOG VALUE;READ ;22;20/26;°C;OK;;;
;;VLV POS;LSST/PISO02/FANCOIL07/%_APERTURA_VALVULA_FRIO;.;;ANALOG OUTPUT;READ ;22;0% a 100%;%;OK;;;
;;DAY CLG STPT;LSST/PISO02/FANCOIL07/SETPOINT_COOLING_DAY;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;DAY HTG STPT;LSST/PISO02/FANCOIL07/SETPOINT_HEATING_DAY;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;NGT CLG STPT;LSST/PISO02/FANCOIL07/SETPOINT_COOLING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;NGT HTG STPT;LSST/PISO02/FANCOIL07/SETPOINT_HEATING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;CTL STPT;LSST/PISO02/FANCOIL07/SETPOINT_TRABAJO;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;PP_selector;LSST/PISO02/FANCOIL07/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;VLV POS_LSST;LSST/PISO02/FANCOIL07/%_APERTURA_VALVULA_FRIO_LSST;;.;ANALOG OUTPUT;WRITE;22;0% a 100%;%;EN PROCESO 2 ETAPA;;;
;;DAY CLG STPT_LSST;LSST/PISO02/FANCOIL07/SETPOINT_COOLING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;DAY HTG STPT_LSST;LSST/PISO02/FANCOIL07/SETPOINT_HEATING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;NGT CLG STPT_LSST;LSST/PISO02/FANCOIL07/SETPOINT_COOLING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;NGT HTG STPT_LSST;LSST/PISO02/FANCOIL07/SETPOINT_HEATING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;CTL STPT_LSST;LSST/PISO02/FANCOIL07/SETPOINT_TRABAJO_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;PP_selector_LSST;LSST/PISO02/FANCOIL07/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 2;FANCOIL N°8;HEAT.COOL;LSST/PISO02/FANCOIL08/ESTADO_OPERACION;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;HTG STG 1;LSST/PISO02/FANCOIL08/ESTADO_CALEFACTOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;FAN;LSST/PISO02/FANCOIL08/ESTADO_VENTILADOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;ROOM TEMP;LSST/PISO02/FANCOIL08/TEMPERATURA_SALA;.;;ANALOG VALUE;READ ;22;20/26;°C;OK;;;
;;VLV POS;LSST/PISO02/FANCOIL08/%_APERTURA_VALVULA_FRIO;.;;ANALOG OUTPUT;READ ;22;0% a 100%;%;OK;;;
;;DAY CLG STPT;LSST/PISO02/FANCOIL08/SETPOINT_COOLING_DAY;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;DAY HTG STPT;LSST/PISO02/FANCOIL08/SETPOINT_HEATING_DAY;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;NGT CLG STPT;LSST/PISO02/FANCOIL08/SETPOINT_COOLING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;NGT HTG STPT;LSST/PISO02/FANCOIL08/SETPOINT_HEATING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;CTL STPT;LSST/PISO02/FANCOIL08/SETPOINT_TRABAJO;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;PP_selector;LSST/PISO02/FANCOIL08/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;VLV POS_LSST;LSST/PISO02/FANCOIL08/%_APERTURA_VALVULA_FRIO_LSST;;.;ANALOG OUTPUT;WRITE;22;0% a 100%;%;EN PROCESO 2 ETAPA;;;
;;DAY CLG STPT_LSST;LSST/PISO02/FANCOIL08/SETPOINT_COOLING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;DAY HTG STPT_LSST;LSST/PISO02/FANCOIL08/SETPOINT_HEATING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;NGT CLG STPT_LSST;LSST/PISO02/FANCOIL08/SETPOINT_COOLING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;NGT HTG STPT_LSST;LSST/PISO02/FANCOIL08/SETPOINT_HEATING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;CTL STPT_LSST;LSST/PISO02/FANCOIL08/SETPOINT_TRABAJO_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;PP_selector_LSST;LSST/PISO02/FANCOIL08/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 2;FANCOIL N°9;HEAT.COOL;LSST/PISO02/FANCOIL09/ESTADO_OPERACION;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;HTG STG 1;LSST/PISO02/FANCOIL09/ESTADO_CALEFACTOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;FAN;LSST/PISO02/FANCOIL09/ESTADO_VENTILADOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;ROOM TEMP;LSST/PISO02/FANCOIL09/TEMPERATURA_SALA;.;;ANALOG VALUE;READ ;22;20/26;°C;OK;;;
;;VLV POS;LSST/PISO02/FANCOIL09/%_APERTURA_VALVULA_FRIO;.;;ANALOG OUTPUT;READ ;22;0% a 100%;%;OK;;;
;;DAY CLG STPT;LSST/PISO02/FANCOIL09/SETPOINT_COOLING_DAY;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;DAY HTG STPT;LSST/PISO02/FANCOIL09/SETPOINT_HEATING_DAY;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;NGT CLG STPT;LSST/PISO02/FANCOIL09/SETPOINT_COOLING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;NGT HTG STPT;LSST/PISO02/FANCOIL09/SETPOINT_HEATING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;CTL STPT;LSST/PISO02/FANCOIL09/SETPOINT_TRABAJO;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;PP_selector;LSST/PISO02/FANCOIL09/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;VLV POS_LSST;LSST/PISO02/FANCOIL09/%_APERTURA_VALVULA_FRIO_LSST;;.;ANALOG OUTPUT;WRITE;22;0% a 100%;%;EN PROCESO 2 ETAPA;;;
;;DAY CLG STPT_LSST;LSST/PISO02/FANCOIL09/SETPOINT_COOLING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;DAY HTG STPT_LSST;LSST/PISO02/FANCOIL09/SETPOINT_HEATING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;NGT CLG STPT_LSST;LSST/PISO02/FANCOIL09/SETPOINT_COOLING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;NGT HTG STPT_LSST;LSST/PISO02/FANCOIL09/SETPOINT_HEATING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;CTL STPT_LSST;LSST/PISO02/FANCOIL09/SETPOINT_TRABAJO_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;PP_selector_LSST;LSST/PISO02/FANCOIL09/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 2;FANCOIL N°10;HEAT.COOL;LSST/PISO02/FANCOIL10/ESTADO_OPERACION;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;HTG STG 1;LSST/PISO02/FANCOIL10/ESTADO_CALEFACTOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;FAN;LSST/PISO02/FANCOIL10/ESTADO_VENTILADOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;ROOM TEMP;LSST/PISO02/FANCOIL10/TEMPERATURA_SALA;.;;ANALOG VALUE;READ ;22;20/26;°C;OK;;;
;;VLV POS;LSST/PISO02/FANCOIL10/%_APERTURA_VALVULA_FRIO;.;;ANALOG OUTPUT;READ ;22;0% a 100%;%;OK;;;
;;DAY CLG STPT;LSST/PISO02/FANCOIL10/SETPOINT_COOLING_DAY;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;DAY HTG STPT;LSST/PISO02/FANCOIL10/SETPOINT_HEATING_DAY;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;NGT CLG STPT;LSST/PISO02/FANCOIL10/SETPOINT_COOLING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;NGT HTG STPT;LSST/PISO02/FANCOIL10/SETPOINT_HEATING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;CTL STPT;LSST/PISO02/FANCOIL10/SETPOINT_TRABAJO;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;PP_selector;LSST/PISO02/FANCOIL10/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;VLV POS_LSST;LSST/PISO02/FANCOIL10/%_APERTURA_VALVULA_FRIO_LSST;;.;ANALOG OUTPUT;WRITE;22;0% a 100%;%;EN PROCESO 2 ETAPA;;;
;;DAY CLG STPT_LSST;LSST/PISO02/FANCOIL10/SETPOINT_COOLING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;DAY HTG STPT_LSST;LSST/PISO02/FANCOIL10/SETPOINT_HEATING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;NGT CLG STPT_LSST;LSST/PISO02/FANCOIL10/SETPOINT_COOLING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;NGT HTG STPT_LSST;LSST/PISO02/FANCOIL10/SETPOINT_HEATING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;CTL STPT_LSST;LSST/PISO02/FANCOIL10/SETPOINT_TRABAJO_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;PP_selector_LSST;LSST/PISO02/FANCOIL10/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 2;FANCOIL N°11;HEAT.COOL;LSST/PISO02/FANCOIL11/ESTADO_OPERACION;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;HTG STG 1;LSST/PISO02/FANCOIL11/ESTADO_CALEFACTOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;FAN;LSST/PISO02/FANCOIL11/ESTADO_VENTILADOR;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;ROOM TEMP;LSST/PISO02/FANCOIL11/TEMPERATURA_SALA;.;;ANALOG VALUE;READ ;22;20/26;°C;OK;;;
;;VLV POS;LSST/PISO02/FANCOIL11/%_APERTURA_VALVULA_FRIO;.;;ANALOG OUTPUT;READ ;22;0% a 100%;%;OK;;;
;;DAY CLG STPT;LSST/PISO02/FANCOIL11/SETPOINT_COOLING_DAY;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;DAY HTG STPT;LSST/PISO02/FANCOIL11/SETPOINT_HEATING_DAY;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;NGT CLG STPT;LSST/PISO02/FANCOIL11/SETPOINT_COOLING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;NGT HTG STPT;LSST/PISO02/FANCOIL11/SETPOINT_HEATING_NIGHT;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;CTL STPT;LSST/PISO02/FANCOIL11/SETPOINT_TRABAJO;.;;ANALOG OUTPUT;READ ;22;18/30;°C;OK;;;
;;PP_selector;LSST/PISO02/FANCOIL11/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;VLV POS_LSST;LSST/PISO02/FANCOIL11/%_APERTURA_VALVULA_FRIO_LSST;;.;ANALOG OUTPUT;WRITE;22;0% a 100%;%;EN PROCESO 2 ETAPA;;;
;;DAY CLG STPT_LSST;LSST/PISO02/FANCOIL11/SETPOINT_COOLING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;DAY HTG STPT_LSST;LSST/PISO02/FANCOIL11/SETPOINT_HEATING_DAY_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;NGT CLG STPT_LSST;LSST/PISO02/FANCOIL11/SETPOINT_COOLING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
;;NGT HTG STPT_LSST;LSST/PISO02/FANCOIL11/SETPOINT_HEATING_NIGHT_LSST;;.;ANALOG OUTPUT;WRITE;22;18/30;°C;EN PROCESO 2 ETAPA;;;
